William Perkin was born in London in 1838. As a child he had many hobbies, including model making and photography. But it was the ………… of chemistry that really interested him. At the age of 15, he went to college to study it.;B;class;subject;course
While William Perkin was in college to study chemistry, he was ………… to make a medicine from coal.;B;thinking;trying;deciding
William Perkin tried to make medicine from coal. This didn’t go well, but when he was working on the problem, he found a cheap ………… to make the colour purple.;A;way;path;plan
At that ………… it was very expensive to make clothes in different colours. William knew he could make a business out of his new colour.;B;day;time;hour
William knew he could make a business out of his new colour. Helped by his father and brother, William ………… his own factory to make the colour.;C;brought;turned;opened
William started a factory to sell the colour he made. It sold well, and soon purple clothes ………… very popular in England and the rest of the world.;C;began;arrived;became
Wivenhoe is a beautiful hotel in the countryside, with many rooms and an excellent restaurant. However, there is a big ………… between Wivenhoe and other hotels. Firstly, Wivenhoe is part of a university, and secondly, its staff are all teenagers.;C;change;variety;difference
In fact, Wivenhoe is a hotel school for young people who are ………… to get jobs in the hotel or restaurant ………… .;B;knowing;variety;difference
In fact, Wivenhoe is a hotel school for young people who are ………… to get jobs in the hotel or restaurant ………… .;A;business;work;career
Wivenhoe is a hotel school for young people. The students learn by helping staff in a real hotel, while their teachers ………… them carefully.;C;see;look;watch
Wivenhoe is a hotel schoo for young people. They do everything, from making beds and cleaning bathrooms to preparing menus and ………… the telephone.;B;calling;answering;speaking
Some British people may think that a hotel run by students is a rather strange idea, but many visitors say that Wivenhoe is the best hotel they have ever ………… at.;B;entered;stayed;gone

