Genealogy is a …..... of history. It concerns family history, rather than the national or world history studied at school.;C;brand;set;branch;series
Genealogy is a branch of history. It concerns family history, ....... than the national or world history studied at school.;B;instead;rather;except;sooner
Genealogy doesn’t merely involve drawing a family tree, however – tracing your family history can also …..... in learning about your roots and your identity.;C;cause;mean;result;lead
The internet enables millions of people worldwide to ....... information about their family history, without great expense.;B;accomplish;access;approach;admit
The internet enables millions of people worldwide to access information about their family history, without great ...….. .;D;fee;price;charge;expense
People who research their family history often ...….. that it’s a fascinating hobby which reveals a lot about where they come from and whether they have famous ancestors. According to a survey involving 900 people who had researched their family history, the chances of discovering a celebrity in your past are one in ten.;C;describe;define;remark;regard
People who research their family history often find that it’s a fascinating hobby which …........ a lot about where they come from and whether they have famous ancestors. According to a survey involving 900 people who had researched their family history, the chances of discovering a celebrity in your past are one in ten.;A;reveals;opens;begins;arises
According to a survey involving 900 people who had researched their family history, the chances of discovering a celebrity in your past are one in ten. The survey also concluded that the …..... back you follow your family line, the more likely you are to find a relation who was much wealthier than you are.;D;older;greater;higher;further
According to a survey involving 900 people who had researched their family history, the chances of discovering a celebrity in your past are one in ten.However, the vast majority of people who …..... in the survey discovered they were better off than their ancestors.;B;attended;participated;included;associated



